영문공항명,한글공항,공항코드1(IATA),공항코드2(ICAO),지역,영문국가명,한글국가명,영문도시명
A Coruna Airport,아코루냐 공항,LCG,LECO,유럽,Spain,스페인,ACoruna
Aalborg Airport,올보르 공항,AAL,EKYT,유럽,Denmark,덴마크,Aalborg
Aarhus Airport,오르후스 공항,AAR,EKAH,유럽,Denmark,덴마크,Aarhus
Aasiaat Airport,아시아앗 공항,JEG,BGAA,유럽,Greenland,그린란드,Aasiaat
Aba Segud Airport,아바 세구드 공항,JIM,HAJM,중동아프리카,Ethiopia,이디오피아,Jimma
Aba Tenna Dejazmach Yilma International Airport,아바 테나 데자즈마흐 일마 국제공항,DIR,HADR,중동아프리카,Ethiopia,이디오피아,Dire Dawa
Abadan Airport,아바단 공항,ABD,OIAA,중동아프리카,Iran,이란,Abadan
Abaiang Airport,아바이앙 공항,ABF,NGAB,아시아태평양,Kiribati,키리바시,Abaiang
Abakan Airport,아바칸 공항,ABA,UNAA,유럽,Russia,러시아,Abakan
Abbotsford International Airport,애버츠퍼드 국제공항,YXX,CYXX,북미캐나다,Canada,캐나다,Abbotsford
Abdelhafid Boussouf Bou Chekif Airport,압델하피드 부수프 부 체키프 공항,TID,DAOB,중동아프리카,Algeria,알제리,Tiaret
Abdul Rachman Saleh Airport,압둘 라흐만 살레 공항,MLG,WARA,아시아태평양,Indonesia,인도네시아,Malang
Abdullahi Yusuf International Airport,압둘라히 유수프 국제공항,GLK,HCMR,중동아프리카,Somalia,소말리아,Galkayo
Abeche Airport,아베셰 공항,AEH,FTTC,중동아프리카,Chad,차드,Abeche
Abeid Amani Karume International Airport,아베이드 아마니 카루메 국제공항,ZNZ,HTZA,중동아프리카,Tanzania,탄자니아,Zanzibar
Abel SantamarIa Airport,아벨 산타마리아 공항,SNU,MUSC,중남미,Cuba,쿠바,Santa Clara
Abemama Atoll Airport,아베마마 아톨 공항,AEA,NGTB,아시아태평양,Kiribati,키리바시,Abemama Atoll
Aberdeen International Airport,애버딘 국제공항,ABZ,EGPD,유럽,United Kingdom,영국,Aberdeen
Aberdeen Regional Airport,애버딘 지역 공항,ABR,KABR,북미캐나다,United States,미국,Aberdeen
Abha Regional Airport,아바 공항,AHB,OEAB,중동아프리카,Saudi Arabia,사우디아라비아,Abha
Abilene Regional Airport,애빌린 지역 공항,ABI,KABI,북미캐나다,United States,미국,Abilene
Abraham Gonzalez International Airport,아브라함 곤잘레스 국제 공항,CJS,MMCS,중남미,Mexico,멕시코,Ciudad Juarez
Abraham Lincoln Capital Airport,에이브러햄 링컨 캐피털 공항,SPI,KSPI,북미캐나다,United States,미국,Springfield
Abruzzo Airport,아브루초 공항,PSR,LIBP,유럽,Italy,이탈리아,Pescara
Abu Dhabi International Airport,아부다비 국제공항,AUH,OMAA,중동아프리카,United Arab Emirates,아랍에미레이트,Abu Dhabi
Abu Musa Airport,아부무사 공항,AEU,OIBA,중동아프리카,Iran,이란,Abu Musa Island
Abu Simbel Airport,아부심벨 공항,ABS,HEBL,중동아프리카,Egypt,이집트,Abu Simbel
Acadiana Regional Airport,아카디아나 지역공항,ARA,KARA,북미캐나다,United States,미국,Iberia
